source,sumlevel,geoid,name,st,cnty,T16_est1,T16_est2,T16_est3,T16_est4,T16_est5,T16_est6,T16_est7,T16_est8,T16_est9,T16_est10,T16_est11,T16_est12,T16_est13,T16_est14,T16_est15,T16_est16,T16_est17,T16_est18,T16_est19,T16_est20,T16_est21,T16_est22,T16_est23,T16_est24,T16_est25,T16_est26,T16_est27,T16_est28,T16_est29,T16_est30,T16_est31,T16_est32,T16_est33,T16_est34,T16_est35,T16_est36,T16_est37,T16_est38,T16_est39,T16_est40,T16_est41,T16_est42,T16_est43,T16_est44,T16_est45,T16_est46,T16_est47,T16_est48,T16_est49,T16_est50,T16_est51,T16_est52,T16_est53,T16_est54,T16_est55,T16_est56,T16_est57,T16_est58,T16_est59,T16_est60,T16_est61,T16_est62,T16_est63,T16_est64,T16_est65,T16_est66,T16_est67,T16_est68,T16_est69,T16_est70,T16_est71,T16_est72,T16_est73,T16_est74,T16_est75,T16_est76,T16_est77,T16_est78,T16_est79,T16_est80,T16_est81,T16_est82,T16_est83,T16_est84,T16_est85,T16_est86,T16_est87,T16_est88,T16_est89,T16_est90,T16_est91,T16_est92,T16_est93,T16_est94,T16_est95,T16_est96,T16_est97,T16_est98,T16_est99,T16_est100,T16_est101,T16_est102,T16_est103,T16_est104,T16_est105,T16_est106,T16_est107,T16_est108,T16_est109,T16_est110,T16_est111,T16_est112,T16_est113,T16_est114,T16_est115,T16_est116,T16_est117,T16_est118,T16_est119,T16_est120,T16_est121,T16_est122,T16_est123,T16_est124,T16_est125,T16_est126,T16_est127,T16_est128,T16_est129,T16_est130,T16_est131,T16_est132,T16_est133,T16_est134,T16_est135,T16_est136,T16_est137,T16_est138,T16_est139,T16_est140,T16_est141,T16_est142,T16_est143,T16_est144,T16_est145,T16_est146,T16_est147,T16_est148,T16_est149,T16_est150,T16_est151,T16_est152,T16_est153,T16_est154,T16_est155,T16_est156,T16_est157,T16_est158,T16_est159,T16_est160,T16_est161,T16_est162,T16_est163,T16_est164,T16_est165,T16_est166,T16_est167,T16_est168,T16_est169,T16_est170,T16_est171,T16_moe1,T16_moe2,T16_moe3,T16_moe4,T16_moe5,T16_moe6,T16_moe7,T16_moe8,T16_moe9,T16_moe10,T16_moe11,T16_moe12,T16_moe13,T16_moe14,T16_moe15,T16_moe16,T16_moe17,T16_moe18,T16_moe19,T16_moe20,T16_moe21,T16_moe22,T16_moe23,T16_moe24,T16_moe25,T16_moe26,T16_moe27,T16_moe28,T16_moe29,T16_moe30,T16_moe31,T16_moe32,T16_moe33,T16_moe34,T16_moe35,T16_moe36,T16_moe37,T16_moe38,T16_moe39,T16_moe40,T16_moe41,T16_moe42,T16_moe43,T16_moe44,T16_moe45,T16_moe46,T16_moe47,T16_moe48,T16_moe49,T16_moe50,T16_moe51,T16_moe52,T16_moe53,T16_moe54,T16_moe55,T16_moe56,T16_moe57,T16_moe58,T16_moe59,T16_moe60,T16_moe61,T16_moe62,T16_moe63,T16_moe64,T16_moe65,T16_moe66,T16_moe67,T16_moe68,T16_moe69,T16_moe70,T16_moe71,T16_moe72,T16_moe73,T16_moe74,T16_moe75,T16_moe76,T16_moe77,T16_moe78,T16_moe79,T16_moe80,T16_moe81,T16_moe82,T16_moe83,T16_moe84,T16_moe85,T16_moe86,T16_moe87,T16_moe88,T16_moe89,T16_moe90,T16_moe91,T16_moe92,T16_moe93,T16_moe94,T16_moe95,T16_moe96,T16_moe97,T16_moe98,T16_moe99,T16_moe100,T16_moe101,T16_moe102,T16_moe103,T16_moe104,T16_moe105,T16_moe106,T16_moe107,T16_moe108,T16_moe109,T16_moe110,T16_moe111,T16_moe112,T16_moe113,T16_moe114,T16_moe115,T16_moe116,T16_moe117,T16_moe118,T16_moe119,T16_moe120,T16_moe121,T16_moe122,T16_moe123,T16_moe124,T16_moe125,T16_moe126,T16_moe127,T16_moe128,T16_moe129,T16_moe130,T16_moe131,T16_moe132,T16_moe133,T16_moe134,T16_moe135,T16_moe136,T16_moe137,T16_moe138,T16_moe139,T16_moe140,T16_moe141,T16_moe142,T16_moe143,T16_moe144,T16_moe145,T16_moe146,T16_moe147,T16_moe148,T16_moe149,T16_moe150,T16_moe151,T16_moe152,T16_moe153,T16_moe154,T16_moe155,T16_moe156,T16_moe157,T16_moe158,T16_moe159,T16_moe160,T16_moe161,T16_moe162,T16_moe163,T16_moe164,T16_moe165,T16_moe166,T16_moe167,T16_moe168,T16_moe169,T16_moe170,T16_moe171
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,20800,15220,1040,55,35,0,20,290,240,10,40,100,100,0,0,380,220,155,4,220,135,80,4,1445,205,100,110,0,460,280,180,0,40,35,4,0,315,100,215,0,420,280,140,0,2305,525,140,385,0,935,435,505,0,145,85,60,0,460,60,400,0,240,130,110,0,10430,1855,85,1765,0,5885,375,5510,0,925,115,810,0,745,110,635,0,1025,110,915,0,5580,1380,30,25,4,0,385,325,45,15,165,140,25,0,165,150,15,0,635,510,100,25,860,55,55,0,0,495,415,80,0,20,20,0,0,180,155,25,0,110,95,15,0,965,35,0,35,0,400,215,185,0,35,35,0,0,75,30,40,0,425,250,175,0,2370,85,0,85,0,1215,190,1020,0,315,40,275,0,175,100,75,0,585,105,480,0,392,546,219,33,30,27,23,132,122,15,49,103,103,27,27,131,89,101,3,99,71,67,4,249,102,79,64,27,147,142,82,27,57,58,6,27,103,62,85,27,168,151,74,27,319,154,84,124,27,235,192,168,27,76,56,52,27,136,52,138,27,128,115,73,27,494,232,50,230,27,443,131,418,27,190,60,173,27,162,78,155,27,242,67,226,27,574,316,33,33,13,27,146,144,43,20,84,69,33,27,94,95,16,27,254,241,86,39,255,49,49,27,27,211,202,54,27,24,24,27,27,94,91,23,27,70,63,23,27,295,39,27,39,27,167,157,92,27,38,38,27,27,56,47,32,27,205,150,155,27,398,58,27,58,27,289,187,239,27,124,45,114,27,138,122,62,27,224,95,210,27
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,75150,53905,4125,670,345,200,130,1005,775,100,130,25,25,0,0,1370,830,410,130,1055,580,235,240,5255,990,365,625,0,1150,615,535,0,270,210,60,0,1965,775,1190,0,880,605,275,0,8225,2245,545,1705,0,2395,880,1515,0,515,185,330,0,2155,650,1505,0,915,370,545,0,36300,9880,1085,8795,0,17405,1115,16290,0,2350,360,1990,0,3245,420,2825,0,3415,560,2860,0,21245,4110,260,225,25,10,1305,935,240,135,230,220,10,0,700,500,150,50,1605,1085,315,205,3570,290,265,25,0,1280,1140,140,0,295,280,15,0,815,515,300,0,890,490,400,0,4730,260,65,190,0,1715,1035,685,0,310,240,70,0,520,280,240,0,1925,740,1185,0,8840,935,230,705,0,3715,255,3460,0,695,225,470,0,715,90,625,0,2775,350,2425,0,1285,1142,511,213,112,130,93,270,262,61,84,26,26,27,27,263,199,181,106,296,246,102,118,690,223,134,180,27,252,173,185,27,115,109,46,27,338,222,247,27,308,240,164,27,721,298,144,289,27,400,222,349,27,145,103,129,27,391,216,290,27,213,138,181,27,971,582,241,533,27,837,243,824,27,328,136,297,27,397,146,364,27,553,179,511,27,874,496,123,119,28,22,310,262,141,105,112,112,18,27,205,179,75,61,357,293,179,114,550,191,186,28,27,338,302,109,27,169,166,26,27,253,204,152,27,332,175,243,27,579,116,44,106,27,360,277,238,27,160,156,47,27,149,119,97,27,384,241,317,27,793,324,97,313,27,455,134,426,27,233,155,179,27,240,64,237,27,518,201,513,27
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,9120,5830,430,25,15,10,4,170,130,10,35,10,4,0,4,160,110,45,4,60,20,20,15,575,115,65,50,0,75,30,40,0,10,0,10,0,265,170,95,0,110,35,75,0,995,275,50,225,0,295,70,230,0,45,4,35,0,210,60,150,0,165,40,125,0,3830,1025,50,975,0,1895,55,1840,0,230,55,175,0,375,10,360,0,310,20,290,0,3295,1115,4,0,4,0,435,280,55,100,105,95,10,0,245,185,45,15,325,240,35,55,685,10,4,10,0,245,155,85,0,30,20,10,0,195,60,135,0,205,115,90,0,585,25,0,25,0,295,70,225,0,50,30,15,0,65,20,45,0,150,35,115,0,910,80,0,80,0,455,10,445,0,65,0,65,0,50,4,45,0,260,4,255,0,288,256,115,22,15,15,6,73,55,13,44,17,12,21,10,64,53,31,7,38,22,22,21,110,51,39,33,21,38,22,32,21,14,21,14,21,74,63,39,21,54,28,47,21,129,65,26,65,21,84,33,78,21,35,18,32,21,68,32,59,21,67,34,60,21,231,109,27,110,21,181,33,180,21,73,40,67,21,93,15,94,21,94,18,93,21,244,192,16,21,16,21,122,101,41,68,65,60,15,21,95,89,25,24,126,105,30,45,155,15,4,13,21,97,72,67,21,26,21,16,21,69,33,58,21,88,62,59,21,132,29,21,29,21,85,43,82,21,44,31,27,21,40,19,35,21,69,36,60,21,136,43,21,43,21,92,12,92,21,53,21,53,21,31,9,31,21,93,12,92,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,7050,5120,530,60,45,15,0,135,125,4,10,25,25,0,0,195,40,145,15,120,60,15,40,725,195,50,140,0,325,190,135,0,10,4,4,0,125,85,45,0,70,25,45,0,1345,375,60,315,0,690,130,555,0,25,4,20,0,170,50,115,0,85,25,60,0,2520,510,10,500,0,1470,30,1440,0,265,4,260,0,120,4,120,0,150,4,145,0,1930,610,4,0,4,0,290,270,20,0,50,50,0,0,115,15,100,0,150,50,20,80,340,0,0,0,0,95,25,70,0,15,0,15,0,150,30,115,0,80,40,40,0,585,105,0,105,0,280,15,265,0,60,0,60,0,30,4,25,0,110,0,110,0,395,25,0,25,0,245,0,245,0,25,10,10,0,10,0,10,0,90,0,90,0,351,302,147,37,34,22,21,80,77,3,15,26,26,21,21,87,31,70,24,78,53,20,53,195,87,40,69,21,173,134,89,21,12,2,9,21,68,68,39,21,46,32,34,21,213,128,75,112,21,164,82,162,21,24,8,21,21,82,46,66,21,56,23,46,21,262,108,14,109,21,211,39,205,21,99,9,99,21,56,21,55,21,83,15,82,21,297,168,21,21,21,21,132,133,25,21,58,58,21,21,63,18,59,21,84,36,23,70,143,21,21,21,21,63,31,53,21,33,21,33,21,115,36,104,21,53,48,45,21,191,91,21,91,21,122,24,127,21,59,21,59,21,27,2,29,21,91,21,91,21,157,26,21,26,21,139,21,139,21,29,20,16,21,14,21,14,21,69,21,69,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,20620,16255,1700,180,105,55,20,610,390,30,190,110,90,10,10,575,205,325,45,225,140,10,75,1835,495,95,400,0,595,250,345,0,125,65,65,0,425,135,290,0,195,65,130,0,3380,820,105,715,0,1250,270,980,0,445,125,320,0,515,150,365,0,355,100,255,0,9340,2020,95,1930,0,5640,380,5260,0,605,70,540,0,260,4,255,0,810,65,745,0,4365,1390,60,25,35,0,360,220,80,65,205,155,0,50,385,150,225,10,380,225,130,25,900,45,15,30,0,315,180,135,0,105,50,60,0,310,150,160,0,125,60,65,0,1090,95,15,80,0,600,120,475,0,65,50,15,0,100,4,95,0,235,20,215,0,980,50,0,50,0,580,25,555,0,70,4,65,0,35,4,35,0,250,4,250,0,403,506,259,95,66,68,18,169,140,26,113,68,65,14,20,175,77,148,34,96,81,14,54,270,129,55,114,27,170,100,144,27,68,48,53,27,116,63,94,27,77,42,61,27,334,135,60,128,27,233,129,223,27,155,88,118,27,154,103,113,27,121,52,118,27,480,221,52,236,27,410,128,426,27,145,58,130,27,79,12,79,27,178,62,186,27,410,236,37,24,32,27,136,97,69,53,108,94,27,56,133,89,114,13,119,93,81,24,193,36,18,32,27,118,99,87,27,82,42,72,27,123,85,84,27,63,48,44,27,233,91,23,80,27,176,79,174,27,41,37,22,27,67,27,67,27,122,19,121,27,199,44,27,44,27,174,27,171,27,50,27,49,27,36,7,36,27,106,5,105,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,3555,2600,375,95,55,45,0,45,40,0,4,0,0,0,0,150,90,45,15,85,20,0,65,290,45,25,20,0,50,10,45,0,0,0,0,0,90,35,60,0,105,30,70,0,480,50,15,40,0,145,25,115,0,15,15,0,0,130,75,55,0,135,80,60,0,1455,360,30,330,0,725,105,615,0,95,0,95,0,155,4,150,0,125,0,125,0,955,365,35,0,35,0,240,240,0,0,25,20,4,0,25,20,4,0,40,10,10,25,85,0,0,0,0,75,40,30,0,0,0,0,0,0,0,0,0,15,0,15,0,325,0,0,0,0,170,45,125,0,0,0,0,0,4,0,4,0,145,4,140,0,185,0,0,0,0,145,4,140,0,0,0,0,0,15,0,15,0,25,0,25,0,210,222,159,72,43,57,18,40,38,18,7,18,18,18,18,84,64,49,24,89,28,18,85,123,36,33,32,18,59,13,58,18,18,18,18,18,68,30,61,18,66,49,57,18,143,49,21,46,18,68,29,64,18,30,30,18,18,76,68,49,18,96,82,60,18,208,120,54,98,18,181,121,156,18,74,18,74,18,75,7,74,18,82,18,82,18,193,119,37,18,37,18,107,107,18,18,33,33,11,18,22,22,6,18,44,15,14,41,56,18,18,18,18,51,42,30,18,18,18,18,18,18,18,18,18,21,18,21,18,148,18,18,18,18,101,44,102,18,18,18,18,18,13,18,13,18,99,9,99,18,100,18,18,18,18,97,13,95,18,18,18,18,18,25,18,25,18,29,18,29,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,7675,5395,425,20,20,0,0,120,95,25,0,4,4,0,0,155,75,35,50,130,90,0,40,835,135,40,95,0,340,180,160,0,20,15,4,0,235,70,170,0,100,65,35,0,815,225,55,165,0,270,130,140,0,55,15,40,0,190,30,160,0,75,40,35,0,3320,920,60,860,0,1580,185,1395,0,180,10,170,0,250,20,230,0,390,25,365,0,2280,640,15,4,0,10,250,190,35,25,40,40,0,0,115,65,25,25,220,140,25,50,475,15,15,0,0,220,100,120,0,25,25,0,0,115,80,35,0,100,45,55,0,330,40,20,20,0,165,85,75,0,25,10,15,0,30,0,30,0,70,45,25,0,840,20,0,20,0,435,40,395,0,25,15,10,0,45,0,45,0,315,15,300,0,252,243,95,18,18,21,21,57,51,25,21,7,7,21,21,57,39,28,29,48,46,21,30,161,60,25,56,21,119,78,80,21,20,20,12,21,67,41,58,21,59,48,29,21,133,65,34,56,21,88,64,62,21,45,15,43,21,75,25,71,21,45,33,30,21,222,122,37,116,21,179,76,170,21,75,21,71,21,69,21,63,21,109,19,113,21,218,133,18,9,21,15,88,67,30,33,39,39,21,21,56,44,18,29,88,79,22,29,112,18,18,21,21,91,59,74,21,22,22,21,21,48,45,28,21,46,35,36,21,79,40,30,25,21,60,49,47,21,28,14,26,21,29,21,29,21,41,38,23,21,129,18,21,18,21,116,41,111,21,22,21,12,21,29,21,29,21,101,24,97,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,45070,31105,2195,235,185,20,30,625,450,100,75,65,60,4,0,720,540,110,70,555,415,80,60,2805,380,185,195,0,585,290,295,0,210,110,95,0,1060,400,655,0,570,360,210,0,4500,1170,205,965,0,1430,540,890,0,345,185,160,0,1070,175,895,0,490,155,335,0,21605,5080,430,4655,0,10940,685,10255,0,1435,210,1225,0,1980,190,1785,0,2165,145,2025,0,13965,3760,65,45,20,0,1635,1230,260,145,265,225,30,10,295,180,100,15,1500,1130,185,185,2295,55,35,20,0,1115,870,240,0,110,55,55,0,475,260,215,0,540,455,85,0,3125,145,60,80,0,1420,530,890,0,275,190,85,0,365,130,240,0,920,315,605,0,4785,190,20,170,0,2455,70,2385,0,470,70,405,0,180,25,155,0,1490,115,1370,0,581,734,293,98,88,23,29,151,135,63,50,58,57,10,27,158,146,55,44,177,144,55,35,332,121,89,74,27,144,96,104,27,115,86,78,27,194,124,145,27,155,136,77,27,415,223,76,208,27,297,173,223,27,108,78,76,27,173,71,155,27,164,86,117,27,791,343,154,334,27,605,183,611,27,224,105,224,27,279,94,256,27,311,67,289,27,726,395,45,37,24,27,278,230,118,96,140,129,44,18,86,68,58,17,264,221,71,89,347,37,29,19,27,248,225,102,27,83,60,64,27,136,106,79,27,160,154,64,27,378,77,55,49,27,267,156,212,27,104,98,70,27,138,60,124,27,202,148,183,27,537,80,18,78,27,436,59,430,27,162,48,156,27,90,27,86,27,291,90,275,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,13850,9370,700,15,10,0,4,200,140,10,50,15,15,0,0,300,215,45,40,170,50,45,75,1180,95,60,40,0,280,215,65,0,25,20,4,0,540,205,330,0,240,125,115,0,1500,335,85,250,0,470,270,195,0,105,55,55,0,415,120,295,0,175,40,135,0,5985,1545,120,1430,0,2880,175,2705,0,320,35,285,0,545,75,475,0,695,80,615,0,4480,955,4,0,0,4,405,320,20,65,60,55,4,0,250,145,90,15,230,175,15,40,690,30,30,0,0,220,200,20,0,20,20,0,0,165,95,70,0,255,205,45,0,895,80,10,70,0,330,270,55,0,70,50,15,0,75,50,30,0,340,230,110,0,1940,65,10,55,0,975,85,885,0,105,40,60,0,95,0,95,0,700,60,640,0,360,306,151,18,14,24,10,84,81,15,52,20,20,24,24,102,91,47,30,90,35,55,64,173,52,36,41,24,109,105,54,24,31,25,15,24,131,81,105,24,98,65,77,24,186,97,61,72,24,105,91,70,24,57,44,43,24,107,59,92,24,74,48,58,24,308,164,57,151,24,259,76,263,24,106,39,102,24,123,68,128,24,153,50,148,24,448,189,10,24,24,10,141,124,24,57,52,51,6,24,101,80,69,20,80,74,19,43,162,24,24,24,24,93,91,19,24,33,33,24,24,60,64,39,24,113,101,38,24,181,50,16,49,24,120,113,41,24,49,44,25,24,48,39,27,24,124,112,71,24,324,38,18,33,24,193,64,186,24,78,32,62,24,68,24,68,24,207,70,198,24
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,11000,8710,685,30,25,4,4,205,135,50,25,30,30,0,0,195,145,10,40,225,135,55,35,1010,185,115,70,0,320,160,160,0,20,4,10,0,225,105,125,0,260,115,140,0,1570,450,105,345,0,500,205,295,0,185,95,90,0,255,35,220,0,185,40,145,0,5440,1510,145,1365,0,2645,180,2465,0,430,45,380,0,415,20,395,0,445,90,355,0,2290,425,4,4,0,0,150,55,70,25,10,10,0,0,105,90,15,0,150,140,4,10,380,10,10,0,0,60,35,20,0,50,50,0,0,150,60,90,0,110,55,55,0,580,130,70,60,0,275,45,230,0,30,10,20,0,70,10,60,0,80,55,25,0,905,60,35,30,0,460,15,445,0,170,110,60,0,50,10,35,0,165,4,160,0,397,397,147,23,22,21,21,88,74,53,28,46,46,21,21,76,63,16,38,98,65,62,31,224,74,62,52,21,157,102,112,21,22,14,16,21,73,52,64,21,123,90,86,21,251,146,97,125,21,153,98,130,21,96,88,52,21,80,40,77,21,85,34,77,21,401,214,96,204,21,298,78,292,21,121,46,107,21,127,23,126,21,146,72,115,21,324,143,10,10,21,21,84,33,58,41,16,16,21,21,73,71,18,21,81,80,3,15,137,20,20,21,21,39,31,21,21,56,56,21,21,85,48,70,21,68,47,40,21,211,110,89,60,21,129,28,123,21,29,17,26,21,69,13,69,21,73,63,25,21,207,67,51,45,21,137,20,138,21,113,96,61,21,48,16,44,21,96,14,96,21
