source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2011thru2015,050,05000US01001,"Autauga County, Alabama",01,001,325,185,0,45,0,145,35,0,35,0,0,65,0,0,65,0,40,15,25,0,0,192,159,27,48,27,154,46,27,46,27,27,84,27,27,84,27,46,25,40,27,27
2011thru2015,050,05000US01003,"Baldwin County, Alabama",01,003,10590,1830,145,710,470,505,735,165,175,200,195,7150,285,1710,1335,3820,880,250,520,105,0,769,394,90,274,181,194,272,126,143,189,128,742,130,427,358,592,255,129,224,118,27
2011thru2015,050,05000US01005,"Barbour County, Alabama",01,005,325,35,10,25,0,0,95,40,40,15,0,30,15,15,0,0,160,80,80,0,0,107,30,14,33,21,21,54,46,40,23,21,37,26,27,21,21,86,58,65,21,21
2011thru2015,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,0,0,21,21,21,0,21,0,21,21,21,21,21,21,21
2011thru2015,050,05000US01009,"Blount County, Alabama",01,009,395,230,130,100,4,0,25,20,0,0,4,0,0,0,0,0,140,130,10,0,0,168,127,105,76,5,27,22,24,27,27,21,27,27,27,27,27,107,105,13,27,27
2011thru2015,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,18,18,18
2011thru2015,050,05000US01013,"Butler County, Alabama",01,013,120,25,0,20,10,0,75,25,20,15,10,15,0,15,0,0,4,4,0,0,0,53,32,21,31,15,21,45,23,29,27,13,23,21,23,21,21,13,13,21,21,21
2011thru2015,050,05000US01015,"Calhoun County, Alabama",01,015,600,160,65,85,0,4,135,40,90,4,0,175,20,125,30,0,130,0,130,0,0,174,73,49,58,27,10,71,41,57,15,27,110,37,93,52,27,111,27,111,27,27
2011thru2015,050,05000US01017,"Chambers County, Alabama",01,017,535,135,50,25,65,0,40,10,10,20,0,305,0,0,50,255,55,25,30,0,0,167,99,57,39,69,24,48,14,13,44,24,128,24,24,55,128,59,40,49,24,24
2011thru2015,050,05000US01019,"Cherokee County, Alabama",01,019,235,125,95,4,25,0,0,0,0,0,0,45,45,0,0,0,65,30,35,0,0,128,102,93,15,29,21,21,21,21,21,21,49,49,21,21,21,67,48,48,21,21
2011thru2015,050,05000US01021,"Chilton County, Alabama",01,021,390,65,0,25,40,0,35,4,10,15,0,15,0,15,0,0,275,130,150,0,0,166,71,24,38,59,24,28,18,18,22,24,26,24,26,24,24,142,88,125,24,24
2011thru2015,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01025,"Clarke County, Alabama",01,025,70,10,4,10,0,0,4,0,0,4,0,0,0,0,0,0,50,20,30,0,0,59,18,6,14,21,21,10,21,21,10,21,21,21,21,21,21,56,31,45,21,21
2011thru2015,050,05000US01027,"Clay County, Alabama",01,027,90,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,70,70,0,0,0,81,18,18,18,18,18,18,18,18,18,18,33,18,33,18,18,78,78,18,18,18
2011thru2015,050,05000US01029,"Cleburne County, Alabama",01,029,65,20,0,20,0,0,10,0,10,0,0,0,0,0,0,0,35,0,35,0,0,50,32,18,32,18,18,19,18,19,18,18,18,18,18,18,18,32,18,32,18,18
2011thru2015,050,05000US01031,"Coffee County, Alabama",01,031,805,360,20,140,135,70,210,25,110,70,0,170,15,85,60,10,65,45,20,0,0,238,163,33,100,100,86,138,32,98,79,27,134,25,84,82,15,47,43,23,27,27
2011thru2015,050,05000US01033,"Colbert County, Alabama",01,033,615,290,85,180,30,0,145,60,85,0,0,135,55,80,0,0,45,45,0,0,0,179,127,66,101,32,27,89,56,73,27,27,75,51,58,27,27,38,38,27,27,27
2011thru2015,050,05000US01035,"Conecuh County, Alabama",01,035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2011thru2015,050,05000US01037,"Coosa County, Alabama",01,037,105,25,10,15,0,0,0,0,0,0,0,20,0,20,0,0,60,55,4,0,0,62,27,13,24,18,18,18,18,18,18,18,24,18,24,18,18,52,50,10,18,18
2011thru2015,050,05000US01039,"Covington County, Alabama",01,039,440,180,35,125,20,0,85,60,25,0,0,60,20,25,20,0,115,50,65,0,0,125,86,38,79,25,24,63,50,39,24,24,49,32,35,31,24,57,46,38,24,24
2011thru2015,050,05000US01041,"Crenshaw County, Alabama",01,041,90,65,35,30,0,0,20,15,4,0,0,0,0,0,0,0,4,4,4,0,0,47,39,30,25,18,18,22,21,8,18,18,18,18,18,18,18,9,2,5,18,18
2011thru2015,050,05000US01043,"Cullman County, Alabama",01,043,520,110,0,55,4,50,70,30,25,20,0,135,25,70,0,35,205,70,105,30,0,179,84,27,42,27,84,61,37,38,30,27,104,44,84,27,42,121,47,98,44,27
2011thru2015,050,05000US01045,"Dale County, Alabama",01,045,740,285,30,140,100,20,125,80,45,0,0,215,145,10,0,60,115,90,25,0,0,195,125,37,95,75,39,94,62,70,24,24,102,86,13,24,69,69,63,28,24,24
2011thru2015,050,05000US01047,"Dallas County, Alabama",01,047,360,65,45,0,20,0,225,135,90,0,0,30,0,30,0,0,40,40,0,0,0,135,56,49,24,28,24,111,88,78,24,24,50,24,50,24,24,44,44,24,24,24
